route_id;service_id;trip_id;trip_headsign;trip_short_name;direction_id;block_id;shape_id;wheelchair_accessible;bikes_allowed
1;16401;19477458;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480776;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480777;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477459;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477460;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480778;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477461;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480779;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480780;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16401;19477462;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480781;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477463;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
1;16401;19477464;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480782;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480783;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477465;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477466;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480784;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477467;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480785;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480786;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16401;19477468;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480787;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477469;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
1;16401;19477470;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480788;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480789;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477471;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477573;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480891;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477472;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480790;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480791;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16401;19477473;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480792;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477474;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
1;16401;19477475;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480793;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480794;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477476;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477477;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480795;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477478;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480796;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480797;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16401;19477479;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480798;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477480;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
1;16401;19477481;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480799;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480800;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477482;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477483;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480801;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477484;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480802;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480803;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16401;19477485;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480892;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477574;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
1;16401;19477486;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480804;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480805;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477487;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477488;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480806;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477489;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480807;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480882;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16401;19477564;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480808;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477490;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
1;16401;19477491;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480809;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480810;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477492;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477493;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480811;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477494;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480812;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480813;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16401;19477495;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480814;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477496;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
1;16401;19477497;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480815;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480816;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477498;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477576;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480894;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477500;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480818;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480896;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
